artist,date,time,city,state,title,type
高杨,2019-11-09,19:30,上海,上海,长腿叔叔,stage
方书剑,2019-08-10,19:30,深圳,广东,信,stage
郑云龙,2019-04-11,19:30,上海,上海,信,stage
丁辉,2019-03-09,14:30,上海,上海,暗恋桃花源,stage
方书剑,2019-09-07,19:30,宁波,浙江,我的遗愿清单,stage
龚子棋,2019-08-24,19:30,上海,上海,信,stage
丁辉,2019-08-23,19:30,杭州,浙江,我的遗愿清单,stage
丁辉,2019-06-30,14:30,上海,上海,幺幺洞捌,stage
丁辉,2019-06-28,19:30,上海,上海,幺幺洞捌,stage
丁辉,2019-03-17,14:30,上海,上海,暗恋桃花源,stage
刘彬濠,2019-11-23,19:30,上海,上海,帅小伙的蔬果店,stage
郑云龙,2019-05-03,19:30,上海,上海,漫长的告白,stage
龚子棋,2019-04-27,14:30,上海,上海,信,stage
方书剑,2019-06-16,14:30,西安,陕西,我的遗愿清单,stage
郑云龙,2019-01-19,14:00,上海,上海,谋杀歌谣,stage
丁辉,2019-12-27,19:30,杭州,浙江,长腿叔叔,stage
郑云龙,2019-05-04,14:00,上海,上海,漫长的告白,stage
丁辉,2019-09-06,19:30,宁波,浙江,我的遗愿清单,stage
丁辉,2019-12-11,19:00,上海,上海,曾经如是,stage
高杨,2019-07-18,19:30,深圳,广东,长腿叔叔,stage
金圣权,2019-05-19,19:30,纽约,美国,我，堂吉诃德,stage
梁朋杰,2019-09-01,14:30,上海,上海,泰爱你,stage
丁辉,2019-03-02,19:30,上海,上海,暗恋桃花源,stage
丁辉,2019-09-07,19:30,宁波,浙江,我的遗愿清单,stage
刘彬濠,2019-11-21,19:30,上海,上海,帅小伙的蔬果店,stage
郑云龙,2019-09-14,14:00,北京,北京,德龄与慈禧,stage
郑云龙,2019-09-20,19:30,上海,上海,德龄与慈禧,stage
梁朋杰,2019-06-08,19:30,上海,上海,泰爱你,stage
洪之光,2019-04-27,19:30,北京,北京,美丽中国,stage
陆宇鹏,2019-10-18,19:30,上海,上海,音乐之声,stage
高杨,2019-07-10,19:30,北京,北京,长腿叔叔,stage
郑云龙,2019-11-02,19:30,上海,上海,摇滚年代,stage
郑云龙,2019-08-13,19:30,上海,上海,漫长的告白,stage
方书剑,2019-09-15,19:30,厦门,福建,我的遗愿清单,stage
高杨,2019-12-28,19:30,杭州,浙江,长腿叔叔,stage
高杨,2019-06-25,19:30,上海,上海,长腿叔叔,stage
方书剑,2019-04-20,14:30,上海,上海,信,stage
