artist,date,time,city,state,title,type
贾凡,2019-12-27,20:00,珠海,广东,我爱你，中国,concert
方书剑,2019-11-29,20:00,珠海,广东,Cherish珍晰,concert
高杨,2019-12-21,19:00,杭州,浙江,如响应声,concert
黄子弘凡,2019-12-21,19:00,杭州,浙江,如响应声,concert
金圣权,2019-08-10,19:30,南京,江苏,你眼里的蓝,concert
鞠红川,2019-05-14,19:30,重庆,重庆,声入人心巡演,concert
蔡程昱,2019-05-12,19:30,长沙,湖南,声入人心巡演,concert
高杨,2019-12-01,19:30,佛山,广东,Cherish珍晰,concert
阿云嘎,2019-07-20,19:30,上海,上海,我们剧场见(GALA),concert
陈博豪,2019-08-24,19:30,广州,广东,你眼里的蓝,concert
高杨,2019-06-16,19:30,西安,陕西,你眼里的蓝,concert
王晰,2019-11-16,19:30,海口,海南,Cherish珍晰,concert
龚子棋,2019-05-14,19:30,重庆,重庆,声入人心巡演,concert
贾凡,2019-12-13,19:30,杭州,浙江,声入人心II巡演,concert
马佳,2019-05-14,19:30,重庆,重庆,声入人心巡演,concert
马佳,2019-12-07,-,柳州,广西,2020年我们的中国梦文化进万家启动仪式,concert
简弘亦,2019-05-03,19:30,成都,四川,保利ART音乐节,concert
张超,2019-04-26,19:30,青岛,山东,声入人心巡演,concert
蔡尧,2019-09-29,19:30,深圳,广东,爱我中华文艺晚会,concert
马佳,2019-05-28,19:30,南京,江苏,声入人心巡演,concert
马佳,2019-04-14,19:30,北京,北京,北京国际电影节电影交响音乐会,concert
高天鹤,2019-04-26,19:30,青岛,山东,声入人心巡演,concert
金天泽,2019-12-14,19:30,宁波,浙江,宣言,concert
李向哲,2019-11-23,14:00,武汉,湖北,国风音乐盛典,concert
翟李朔天,2019-08-09,19:30,厦门,福建,中孝介演唱会,concert
王凯,2019-08-24,19:30,长春,吉林,声动春城,concert
陈博豪,2019-07-21,19:30,北京,北京,你眼里的蓝,concert
蔡程昱,2019-05-03,19:30,成都,四川,保利ART音乐节,concert
简弘亦,2019-10-31,19:30,广州,广东,亦X不染,concert
郑云龙,2019-07-04,19:30,深圳,广东,我们剧场见(GALA),concert
洪之光,2019-11-22,20:00,海口,海南,海南国际旅游岛欢乐节,concert
龚子棋,2019-12-21,19:00,杭州,浙江,如响应声,concert
李文豹,2019-09-27,19:30,北京,北京,亦X不染,concert
廖佳琳,2019-10-19,18:30,三亚,海南,三亚体育旅游嘉年华启动仪式,concert
翟李朔天,2019-09-30,19:30,上海,上海,凡之声,concert
金天泽,2019-09-29,19:30,深圳,广东,爱我中华文艺晚会,concert
龚子棋,2019-08-02,19:30,重庆,重庆,你眼里的蓝,concert
南枫,2019-11-02,19:30,耶鲁,美国,经典歌剧选段,concert
周深,2019-11-02,19:00,南京,江苏,陈情令国风音乐演唱会,concert
翟李朔天,2019-05-26,19:30,无锡,江苏,声入人心巡演,concert
廖佳琳,2019-12-06,19:30,北京,北京,人生首席,concert
翟李朔天,2019-09-07,19:30,成都,四川,人生首席,concert
简弘亦,2019-10-12,19:30,北京,北京,邂逅回忆,concert
简弘亦,2019-04-23,19:30,上海,上海,不说再见,concert
马佳,2019-11-24,19:30,广州,广东,我爱你，中国,concert
方书剑,2019-04-22,19:30,上海,上海,亦X不染,concert
简弘亦,2019-04-30,19:30,武汉,湖北,亦X不染,concert
黄子弘凡,2019-05-28,19:30,南京,江苏,声入人心巡演,concert
余笛,2019-12-12,19:30,上海,上海,力量之声·我的祖国,concert
高杨,2019-06-09,19:30,石家庄,河北,你眼里的蓝,concert
王晰,2019-11-08,19:45,西安,陕西,保利ART音乐节,concert
马佳,2019-05-25,19:30,上海,上海,云上之声,concert
阿云嘎,2019-05-20,19:30,杭州,浙江,声入人心巡演,concert
龚子棋,2019-04-22,19:30,上海,上海,亦X不染,concert
金圣权,2019-08-18,19:30,北京,北京,你眼里的蓝,concert
梁朋杰,2019-07-28,19:30,昆明,云南,你眼里的蓝,concert
仝卓,2019-04-16,19:30,北京,北京,声入人心巡演,concert
翟李朔天,2019-04-30,19:30,珠海,广东,声入人心巡演,concert
王凯,2019-12-21,19:30,北京,北京,致敬经典音乐会,concert
方书剑,2019-05-18,14:30,上海,上海,辰山草地广播音乐节,concert
仝卓,2019-05-28,19:30,南京,江苏,声入人心巡演,concert
方书剑,2019-01-13,20:00,广州,广东,记忆乡愁,concert
阿云嘎,2019-11-08,19:45,西安,陕西,保利ART音乐节,concert
张超,2019-01-13,20:00,广州,广东,记忆乡愁,concert
贾凡,2019-06-02,19:30,上海,上海,声入人心巡演,concert
高杨,2019-06-21,20:00,深圳,广东,你眼里的蓝,concert
马佳,2019-11-08,19:45,西安,陕西,保利ART音乐节,concert
简弘亦,2019-10-19,18:30,三亚,海南,三亚体育旅游嘉年华启动仪式,concert
金圣权,2019-12-06,19:30,北京,北京,人生首席,concert
王晰,2019-03-08,16:00,珠海,广东,长隆海洋环保音乐节,concert
张超,2019-05-14,19:30,重庆,重庆,声入人心巡演,concert
阿云嘎,2019-07-19,19:30,上海,上海,我们剧场见(GALA),concert
蔡程昱,2019-05-26,19:30,无锡,江苏,声入人心巡演,concert
李向哲,2019-10-12,20:00,南宁,广西,Cherish珍晰,concert
金天泽,2019-10-13,19:30,上海,上海,邂逅回忆,concert
张超,2019-08-31,19:30,宁波,浙江,我爱宁波大型歌会,concert
翟李朔天,2019-11-24,19:30,武汉,湖北,声入江城,concert
简弘亦,2019-12-28,19:00,北京,北京,北京交通频道26周年听众欢乐会,concert
洪之光,2019-12-17,19:30,合肥,安徽,声入人心II巡演,concert
李彦锋,2019-12-21,19:30,厦门,福建,Cherish珍晰,concert
高杨,2019-06-08,19:30,北京,北京,你眼里的蓝,concert
周深,2019-04-16,19:30,北京,北京,声入人心巡演,concert
