artist,date,time,city,state,title,type
余笛,2020-01-03,19:30,上海,上海,火焰,stage
余笛,2020-01-04,19:30,上海,上海,火焰,stage
余笛,2020-01-05,19:30,上海,上海,火焰,stage
龚子棋,2020-01-04,14:30,上海,上海,火焰,stage
龚子棋,2020-01-05,14:30,上海,上海,火焰,stage
梁朋杰,2020-01-01,14:30,上海,上海,音乐之声,stage
梁朋杰,2020-01-01,19:30,上海,上海,音乐之声,stage
梁朋杰,2020-01-02,19:30,上海,上海,音乐之声,stage
高杨,2020-12-18,19:30,深圳,广东,First Date,stage
高杨,2020-12-19,19:30,深圳,广东,First Date,stage
方书剑,2020-01-03,19:30,上海,上海,我的遗愿清单,stage
方书剑,2020-01-04,19:30,上海,上海,我的遗愿清单,stage
丁辉,2020-01-01,14:00,上海,上海,我的遗愿清单,stage
贾凡,2020-01-08,19:30,青岛,山东,九九艳阳天,stage
贾凡,2020-01-10,19:30,天津,天津,九九艳阳天,stage
高杨,2020-12-23,19:30,广州,广东,First Date,stage
高杨,2020-12-24,19:30,广州,广东,First Date,stage
高杨,2020-12-05,19:30,杭州,浙江,First Date,stage
高杨,2020-12-05,14:00,杭州,浙江,First Date,stage
黄子弘凡,2020-05-29,19:30,上海,上海,魔女宅急便,stage
黄子弘凡,2020-05-30,14:00,上海,上海,魔女宅急便,stage
黄子弘凡,2020-05-30,10:30,上海,上海,魔女宅急便,stage
洪之光,2020-06-25,19:30,广州,广东,马可波罗,stage
洪之光,2020-06-27,19:30,广州,广东,马可波罗,stage
洪之光,2020-06-28,19:30,广州,广东,马可波罗,stage
王凯,2020-06-25,19:30,广州,广东,马可波罗,stage
王凯,2020-06-27,19:30,广州,广东,马可波罗,stage
王凯,2020-06-28,19:30,广州,广东,马可波罗,stage
刘彬濠,2020-06-25,19:30,广州,广东,马可波罗,stage
刘彬濠,2020-06-27,19:30,广州,广东,马可波罗,stage
刘彬濠,2020-06-28,19:30,广州,广东,马可波罗,stage
高杨,2020-12-20,14:00,深圳,广东,First Date,stage
高杨,2020-12-25,19:30,广州,广东,First Date,stage
高杨,2020-12-26,14:00,广州,广东,First Date,stage
黄子弘凡,2020-05-31,10:30,上海,上海,魔女宅急便,stage
黄子弘凡,2020-05-31,14:00,上海,上海,魔女宅急便,stage
黄子弘凡,2020-06-01,19:30,上海,上海,魔女宅急便,stage
高杨,2020-12-26,19:30,广州,广东,First Date,stage
黄子弘凡,2020-11-28,19:30,绍兴,浙江,魔女宅急便,stage
黄子弘凡,2020-11-28,14:30,绍兴,浙江,魔女宅急便,stage
黄子弘凡,2020-06-01,14:00,上海,上海,魔女宅急便,stage
黄子弘凡,2020-06-02,19:30,上海,上海,魔女宅急便,stage
方书剑,2020-07-25,14:30,杭州,浙江,我的遗愿清单,stage
方书剑,2020-07-25,19:30,杭州,浙江,我的遗愿清单,stage
方书剑,2020-07-18,19:30,义乌,浙江,我的遗愿清单,stage
龚子棋,2020-08-20,19:30,上海,上海,火焰,stage
龚子棋,2020-08-21,19:30,上海,上海,火焰,stage
余笛,2020-08-20,19:30,上海,上海,火焰,stage
余笛,2020-08-21,19:30,上海,上海,火焰,stage
余笛,2020-08-22,19:30,上海,上海,火焰,stage
余笛,2020-08-23,19:30,上海,上海,火焰,stage
龚子棋,2020-08-23,14:30,上海,上海,火焰,stage
陆宇鹏,2020-08-05,19:30,上海,上海,马不停蹄的忧伤,stage
金圣权,2020-08-06,19:30,上海,上海,马不停蹄的忧伤,stage
金圣权,2020-08-07,19:30,上海,上海,马不停蹄的忧伤,stage
陆宇鹏,2020-08-08,19:30,上海,上海,马不停蹄的忧伤,stage
陆宇鹏,2020-08-08,14:30,上海,上海,马不停蹄的忧伤,stage
金圣权,2020-08-09,19:30,上海,上海,马不停蹄的忧伤,stage
金圣权,2020-08-09,14:30,上海,上海,马不停蹄的忧伤,stage
黄子弘凡,2020-11-21,14:00,杭州,浙江,魔女宅急便,stage
黄子弘凡,2020-11-21,19:30,杭州,浙江,魔女宅急便,stage
龚子棋,2020-09-17,19:30,上海,上海,如果,stage
龚子棋,2020-09-19,14:00,上海,上海,如果,stage
龚子棋,2020-09-20,14:00,上海,上海,如果,stage
方书剑,2020-07-07,19:30,上海,上海,我的遗愿清单,stage
方书剑,2020-07-10,19:30,上海,上海,我的遗愿清单,stage
丁辉,2020-07-11,19:30,上海,上海,我的遗愿清单,stage
丁辉,2020-07-10,19:30,上海,上海,我的遗愿清单,stage
方书剑,2020-07-12,14:00,上海,上海,我的遗愿清单,stage
金圣权,2020-07-11,14:30,上海,上海,帅小伙的蔬果店,stage
金圣权,2020-07-12,14:30,上海,上海,帅小伙的蔬果店,stage
翟李朔天,2020-07-23,19:30,上海,上海,梵高,stage
翟李朔天,2020-07-25,19:30,上海,上海,梵高,stage
翟李朔天,2020-07-26,14:30,上海,上海,梵高,stage
丁辉,2020-07-11,14:00,上海,上海,我的遗愿清单,stage
高杨,2020-12-09,19:30,上海,上海,First Date,stage
高杨,2020-12-10,19:30,上海,上海,First Date,stage
高杨,2020-12-11,19:30,上海,上海,First Date,stage
高杨,2020-12-12,14:00,上海,上海,First Date,stage
高杨,2020-12-12,19:30,上海,上海,First Date,stage
高杨,2020-12-13,14:00,上海,上海,First Date,stage
高杨,2020-12-13,19:30,上海,上海,First Date,stage
黄子弘凡,2020-11-06,19:30,苏州,江苏,魔女宅急便,stage
黄子弘凡,2020-11-07,19:30,苏州,江苏,魔女宅急便,stage
方书剑,2020-08-22,19:30,南京,江苏,我的遗愿清单,stage
方书剑,2020-08-23,19:30,南京,江苏,我的遗愿清单,stage
方书剑,2020-08-26,19:30,无锡,江苏,我的遗愿清单,stage
丁辉,2020-08-12,19:30,丽水,浙江,我的遗愿清单,stage
方书剑,2020-08-12,19:30,丽水,浙江,我的遗愿清单,stage
丁辉,2020-08-14,19:30,上海,上海,火焰,stage
丁辉,2020-08-15,14:30,上海,上海,火焰,stage
丁辉,2020-08-15,19:30,上海,上海,火焰,stage
丁辉,2020-08-16,14:30,上海,上海,火焰,stage
龚子棋,2020-08-15,19:30,上海,上海,火焰,stage
龚子棋,2020-08-16,14:30,上海,上海,火焰,stage
丁辉,2020-07-16,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-17,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-18,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-18,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-19,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-19,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-22,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-23,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-24,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-25,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-25,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-26,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-26,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-29,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-07-30,19:30,上海,上海,暗恋桃花源,stage
蔡程昱,2020-07-24,19:15,上海,上海,唐璜,stage
蔡程昱,2020-07-25,19:15,上海,上海,唐璜,stage
方书剑,2020-08-15,20:00,深圳,广东,我的遗愿清单,stage
方书剑,2020-08-16,20:00,深圳,广东,我的遗愿清单,stage
方书剑,2020-08-19,20:00,珠海,广东,我的遗愿清单,stage
丁辉,2020-08-20,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-21,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-22,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-22,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-23,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-23,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-26,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-27,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-28,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-29,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-29,19:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-30,14:30,上海,上海,暗恋桃花源,stage
丁辉,2020-08-30,19:30,上海,上海,暗恋桃花源,stage
方书剑,2020-09-27,19:30,延安,陕西,我的遗愿清单,stage
马佳,2020-09-25,20:00,深圳,广东,重生,stage
马佳,2020-09-26,20:00,深圳,广东,重生,stage
方书剑,2020-08-16,14:30,深圳,广东,我的遗愿清单,stage
龚子棋,2020-08-18,19:30,上海,上海,火焰,stage
龚子棋,2020-08-19,19:30,上海,上海,火焰,stage
龚子棋,2020-08-16,19:30,上海,上海,火焰,stage
丁辉,2020-08-16,19:30,上海,上海,火焰,stage
方书剑,2020-09-12,14:30,重庆,重庆,我的遗愿清单,stage
丁辉,2020-09-12,14:30,重庆,重庆,我的遗愿清单,stage
